location,count
near San Diego-North ...,3
Nzagi Airport (NZA),3
Oran-es Senia Ai...,3
near Nice-CÃ´te d'Azu...,3
Manston Airport ...,3
near Luena,3
Finningley RAF S...,3
"near Adak, AK",3
near Chicago Municipa...,3
Heglig,3
near San Carlos,3
near San Carlos de Ba...,3
"near Aspen Airport, C...",3
Villa Reynolds A...,3
Richmond Municip...,3
Fort Hertz,3
Kuybyshev Airpor...,3
near Subachoque,3
"near Toledo, OH",3
Kyzyl Airport (KYZ),3
near Wiesbaden,3
Iwakuni NAS,3
Martinsburg Airp...,3
Dhaka-Zia Intern...,3
near Ukhta,3
Tshikapa Airport...,3
Ujung Pandang-Ha...,3
near Rio Branco Airpo...,3
Sinthe,3
"Michigan City, IN",3
Old Fangak,3
SÃ£o TomÃ© Islan...,3
North Luffenham ...,3
Marrakech-Menara...,3
Dallas-Addison A...,3
near Pleiku,3
Finschhafen,3
near Atlantic Ocean,3
near Novosibirsk,3
near DÃ¼sseldorf Airp...,3
Lisboa Airport (...,3
near Bukavu,3
near Jakarta-Kemayora...,3
Kilimanjaro Airp...,3
Thunder Bay Airp...,3
Schipluiden,3
Jumla Airport (JUM),3
near Barcelona Airpor...,3
near An Khe,3
Cap Haitien Airp...,3
Habbaniya RAF St...,3
Navegantes Airpo...,3
Sylhet Airport (...,3
near Uruapan Airport ...,3
near Rostov Airport (...,3
Manaus/Ponta Pel...,3
Tuy Hoa Airport ...,3
Pyongyang-Sunan ...,3
Manila-Nielson F...,3
near Irkutsk,3
Halifax-Stanfiel...,3
Knollwood Airpor...,3
Quelimane Airpor...,3
near San Borja,3
Sciacca,3
"Oklahoma City, OK",3
Kuala Lumpur Int...,3
Aldan Airport (ADH),3
near BelÃ©m/Val-de-Ca...,3
"Iqaluit Airport,...",3
Newburgh-Stewart...,3
Espiritu Santo,3
Keperveyem Airport,3
"Edwards AFB, CA ...",3
near Nairobi-Wilson A...,3
near Salt Lake City I...,3
near Calabozo,3
Singapore-Paya L...,3
"Sydney Airport, ...",3
Biloxi-Keesler A...,3
Tachikawa Air Base,3
Shanghai-Jiangwa...,3
Damascus Interna...,3
Diyarbakir Airpo...,3
Tallinn-Ulemiste...,3
Madinah-Mohammad...,3
Simikot Airport ...,3
near Fort Benning-Law...,3
near Roma-Fiumicino A...,3
near Karachi-Jinnah I...,3
Semarang-Achmad ...,3
between Kunming ...,3
Cleveland-Burke ...,3
near Chicago-Merrill ...,3
near Mexico City-Beni...,3
Lago Agrio Airpo...,3
Lake Texcoco,3
Playa del Carmen...,3
near Tainan,3
near Vladivostok,3
Chicago-Merrill ...,3
Tau Airport (TAV),3
Gao Airport (GAQ),3
Atlanta Municipa...,3
near Dhahran Internat...,3
near Makhachkala,3
near Buenos Aires/Eze...,3
CamagÃ¼ey Airpor...,3
"SÃ£o Paulo, SP",3
near Dungeness,3
near Brazzaville,3
near Malakal,3
Jaipur-Sanganer ...,3
Samara Airport (...,3
near Fairfield-Travis...,3
Bossaso Airport ...,3
Luanda Airport (...,3
Lorient-Lann Bih...,3
near Yeniseisk,3
Tyumen Airport (...,3
Colleville-sur-M...,3
Sault Ste. Marie...,3
San Fernando Air...,3
GuayaramerÃ­n Ai...,3
Nagurskoye Air Base,3
Austin-Bergstrom...,3
"Wichita, KS",3
